TERRAPCR-46_22HMN2LT3_TERRA_region_TH_count.tab	TERRAPCR-47_22HMN2LT3_TERRA_region_TH_count.tab	TERRAPCR-48_22HMN2LT3_TERRA_region_TH_count.tab	TERRAPCR-49_22HMN2LT3_TERRA_region_TH_count.tab	TERRAPCR-4_22HMN2LT3_TERRA_region_TH_count.tab	TERRAPCR-50_22HMN2LT3_TERRA_region_TH_count.tab	TERRAPCR-51_22HMN2LT3_TERRA_region_TH_count.tab
0	0	0	0	0	0	0
11	10	0	18	378	26	496
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	3
18	20	14	32	85	16	14
0	0	0	0	0	0	64
40	118	6	12	294	25	18365
0	0	0	2	0	1	2
13	14	6	131	12	8	24
0	0	0	0	0	0	0
0	0	0	2	0	0	6
524	0	0	211	0	17	43725
0	0	0	0	0	0	0
1638653	79	42	448355	353389	63	1583462
2	0	0	2	166	0	8
2	0	0	18	31	2	1342
0	0	0	0	0	0	2
7	12	2	11	853	34	431422
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	2	0	1	9	2	118
15229	4	0	23	9	942	626
0	0	0	0	0	0	0
2	2	2	0	0	0	2
58	101608	72	143	2947	8	2
2	0	0	0	8	0	0
148	20	8	54	24	28	819670
0	0	0	0	0	0	26
3470	0	0	25	0	36	5
0	0	0	0	0	0	0
0	0	0	0	0	0	30
56	62	0	37	47271	7	206
0	0	0	0	0	0	0
1530	0	0	4975	2047	3058	42
14	18	18	18	39	13	5695
6	0	257	7	14	53	77104
112	8	4	79474	527	10	667
24	14	12	16	39	4	6730
